ordobs,a,b,tolerance,noise
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.25,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.5,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,0.75,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.25,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.5,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
1,-2,1.75,0.3,0.3
3,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
2,-1.75,-2,0.3,0.3
3,-1.75,-2,0.3,0.3
